1234.700 1198.250 2016-03-29 00:00:00	 1244.750 2016-03-30 00:00:00 10.050
1260.150 1208.900 2016-03-31 00:00:00	 1226.950 2016-04-01 00:00:00 -33.200
1235.630 1216.460 2016-04-04 00:00:00	 1231.380 2016-04-05 00:00:00 -4.250
1240.950 1225.730 2016-04-06 00:00:00	 1235.400 2016-04-07 00:00:00 -5.550
1216.030 1233.720 2016-04-08 00:00:00	 1253.330 2016-04-11 00:00:00 37.300
1259.080 1239.180 2016-04-12 00:00:00	 1263.100 2016-04-13 00:00:00 4.020
1259.880 1242.720 2016-04-18 00:00:00	 1225.180 2016-04-20 00:00:00 -34.700
1212.200 1240.290 2016-04-21 00:00:00	 1208.530 2016-04-22 00:00:00 -3.670
1244.900 1236.520 2016-04-26 00:00:00	 1255.550 2016-04-27 00:00:00 10.650
1263.880 1240.260 2016-04-28 00:00:00	 1267.750 2016-04-29 00:00:00 3.870
1263.350 1244.170 2016-05-02 00:00:00	 1239.050 2016-05-03 00:00:00 -24.300
1239.000 1244.790 2016-05-04 00:00:00	 1235.150 2016-05-05 00:00:00 -3.850
1236.700 1241.200 2016-05-06 00:00:00	 1256.280 2016-05-09 00:00:00 19.580
1261.450 1243.530 2016-05-10 00:00:00	 1259.150 2016-05-11 00:00:00 -2.300
1261.700 1254.790 2016-05-13 00:00:00	 1275.580 2016-05-16 00:00:00 13.880
1285.100 1259.090 2016-05-17 00:00:00	 1275.550 2016-05-18 00:00:00 -9.550
1278.480 1260.690 2016-05-19 00:00:00	 1264.650 2016-05-20 00:00:00 -13.830
1245.730 1261.260 2016-05-23 00:00:00	 1233.850 2016-05-24 00:00:00 -11.880
1274.350 1265.590 2016-05-26 00:00:00	 1286.330 2016-05-27 00:00:00 11.980
1318.200 1271.790 2016-05-30 00:00:00	 1284.700 2016-05-31 00:00:00 -33.500
1316.780 1276.020 2016-06-01 00:00:00	 1325.080 2016-06-02 00:00:00 8.300
1314.780 1283.340 2016-06-03 00:00:00	 1306.250 2016-06-06 00:00:00 -8.530
1315.580 1287.710 2016-06-07 00:00:00	 1306.550 2016-06-08 00:00:00 -9.030
1288.630 1291.430 2016-06-09 00:00:00	 1277.880 2016-06-10 00:00:00 -10.750
1273.500 1296.560 2016-06-13 00:00:00	 1267.430 2016-06-14 00:00:00 -6.070
1278.430 1297.150 2016-06-15 00:00:00	 1279.150 2016-06-16 00:00:00 0.720
1329.650 1298.640 2016-06-20 00:00:00	 1325.600 2016-06-21 00:00:00 -4.050
1333.830 1299.900 2016-06-22 00:00:00	 1322.680 2016-06-23 00:00:00 -11.150
1286.980 1299.080 2016-06-24 00:00:00	 1247.930 2016-06-27 00:00:00 -39.050
1231.980 1288.930 2016-06-28 00:00:00	 1251.450 2016-06-29 00:00:00 19.470
1276.550 1286.180 2016-06-30 00:00:00	 1250.430 2016-07-01 00:00:00 -26.120
1247.100 1283.080 2016-07-04 00:00:00	 1242.650 2016-07-05 00:00:00 -4.450
1214.900 1275.930 2016-07-07 00:00:00	 1213.300 2016-07-08 00:00:00 -1.600
